address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,no,no,3.6/5,28,Banashankari,Cafe,Not Specified,"Cafe, Fast Food",900.0,Cafes,Banashankari
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,yes,no,3.6/5,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,no,no,3.7/5,31,Banashankari,Cafe,Not Specified,Cafe,300.0,Cafes,Banashankari
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,no,no,3.2/5,11,Banashankari,Cafe,Not Specified,"Cafe, Bakery",600.0,Cafes,Banashankari
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,yes,no,3.8/5,75,Banashankari,"Cafe, Quick Bites",Not Specified,"Cafe, South Indian",200.0,Cafes,Banashankari
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,no,no,3.3/5,4,Banashankari,Cafe,Not Specified,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,no,no,3.3/5,23,Banashankari,Cafe,Not Specified,"Cafe, Fast Food",550.0,Cafes,Banashankari
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,no,no,3.8/5,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,yes,no,4.0/5,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes,Banashankari
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,yes,no,2.8/5,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,yes,no,3.9/5,35,Banashankari,Delivery,Not Specified,"Bakery, Desserts",500.0,Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,yes,no,3.9/5,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery,Banashankari
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,yes,no,4.2/5,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,yes,no,3.9/5,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery,Banashankari
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,yes,no,2.8/5,91,Banashankari,Quick Bites,Not Specified,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,yes,no,4.2/5,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery,Banashankari
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,yes,no,4.4/5,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,yes,no,4.0/5,17,Banashankari,Quick Bites,Not Specified,South Indian,150.0,Delivery,Banashankari
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,yes,no,3.8/5,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery,Banashankari
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,no,no,3.9/5,28,Banashankari,Mess,Not Specified,South Indian,300.0,Delivery,Banashankari
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,yes,no,3.9/5,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery,Banashankari
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,yes,no,3.9/5,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery,Banashankari
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,yes,yes,4.6/5,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,Banashankari
"2nd Stage, Banashankari, Bangalore",Hotboxit,no,no,3.8/5,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery,Banashankari
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,yes,no,3.6/5,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery,Banashankari
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,yes,no,4.0/5,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,yes,no,3.7/5,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery,Banashankari
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,yes,no,3.1/5,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,no,no,3.7/5,21,Banashankari,Quick Bites,Not Specified,North Indian,450.0,Delivery,Banashankari
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,yes,no,4.1/5,28,Vijay Nagar,Quick Bites,Not Specified,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,no,no,4.3/5,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery,Banashankari
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,yes,no,4.0/5,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,no,no,4.0/5,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,yes,no,3.9/5,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,yes,no,3.8/5,104,Banashankari,Quick Bites,Not Specified,"Biryani, Fast Food",300.0,Delivery,Banashankari
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,yes,yes,4.2/5,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,no,no,3.6/5,55,Banashankari,Quick Bites,Not Specified,"Fast Food, Burger",200.0,Delivery,Banashankari
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,yes,no,3.7/5,17,Banashankari,Dessert Parlor,Not Specified,"Desserts, Beverages",400.0,Delivery,Banashankari
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,no,no,4.2/5,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0,Delivery,Banashankari
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,yes,yes,3.6/5,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,yes,no,3.8/5,58,Basavanagudi,Quick Bites,Not Specified,Chinese,150.0,Delivery,Banashankari
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,no,yes,4.0/5,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery,Banashankari
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,no,no,3.7/5,78,Banashankari,"Bakery, Dessert Parlor",Not Specified,Bakery,150.0,Delivery,Banashankari
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,yes,no,4.1/5,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,yes,no,3.6/5,34,Jayanagar,Quick Bites,Not Specified,South Indian,100.0,Delivery,Banashankari
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,no,no,4.1/5,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,no,no,3.8/5,39,Banashankari,Bakery,Not Specified,"Bakery, Desserts",300.0,Delivery,Banashankari
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,yes,no,3.2/5,71,Basavanagudi,Quick Bites,Not Specified,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,yes,no,3.6/5,6,Banashankari,"Takeaway, Delivery",Not Specified,"Italian, North Indian, Biryani",500.0,Delivery,Banashankari
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,no,no,4.1/5,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery,Banashankari
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,no,no,NEW,0,Banashankari,Quick Bites,Not Specified,North Indian,150.0,Delivery,Banashankari
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,no,no,2.9/5,84,Banashankari,Delivery,Not Specified,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,no,no,3.6/5,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery,Banashankari
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,no,no,NEW,0,Banashankari,"Takeaway, Delivery",Not Specified,"Street Food, Fast Food",500.0,Delivery,Banashankari
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,yes,no,4.1/5,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery,Banashankari
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,yes,no,3.6/5,28,Banashankari,Quick Bites,Not Specified,"Biryani, South Indian",300.0,Delivery,Banashankari
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,no,no,3.7/5,22,Banashankari,Quick Bites,Not Specified,Fast Food,500.0,Delivery,Banashankari
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,no,no,3.8/5,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,yes,no,3.8/5,153,Vijay Nagar,Fine Dining,Not Specified,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,yes,no,4.2/5,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,no,no,3.5/5,14,Banashankari,Sweet Shop,Not Specified,"Mithai, Street Food",200.0,Delivery,Banashankari
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,no,no,3.8/5,42,Banashankari,Casual Dining,Not Specified,"North Indian, Chinese",700.0,Delivery,Banashankari
"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,no,no,,0,Banashankari,Quick Bites,Not Specified,"South Indian, Chinese",100.0,Delivery,Banashankari
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,no,no,4.0/5,66,Banashankari,Bakery,Not Specified,"Bakery, Desserts",300.0,Delivery,Banashankari
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,yes,no,4.4/5,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery,Banashankari
"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,no,no,3.5/5,31,Banashankari,Quick Bites,Not Specified,North Indian,200.0,Delivery,Banashankari
"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,no,no,3.5/5,7,Banashankari,Dessert Parlor,Not Specified,Desserts,500.0,Delivery,Banashankari
"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,no,no,3.7/5,21,Banashankari,Quick Bites,Not Specified,Biryani,250.0,Delivery,Banashankari
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",Me And My Cake,no,no,,0,Banashankari,Delivery,Not Specified,"Bakery, Desserts",500.0,Delivery,Banashankari
"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",Sunsadm,no,no,,0,Banashankari,"Takeaway, Delivery",Not Specified,South Indian,400.0,Delivery,Banashankari
"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Annapooraneshwari Mess,no,no,,0,Banashankari,Mess,Not Specified,South Indian,200.0,Delivery,Banashankari
"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,no,no,3.2/5,9,Banashankari,Dessert Parlor,Not Specified,Ice Cream,300.0,Delivery,Banashankari
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,no,no,2.6/5,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery,Banashankari
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,no,no,3.3/5,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,no,no,3.8/5,64,Banashankari,Quick Bites,Not Specified,"Fast Food, Bakery",250.0,Delivery,Banashankari
"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,no,no,3.7/5,39,Banashankari,Casual Dining,Not Specified,"North Indian, Iranian",950.0,Delivery,Banashankari
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,no,no,3.7/5,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery,Banashankari
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,yes,no,3.8/5,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,no,no,3.5/5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery,Banashankari
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,no,no,3.7/5,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery,Banashankari
"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,no,no,3.5/5,10,Banashankari,Quick Bites,Not Specified,"South Indian, Biryani",300.0,Delivery,Banashankari
